event_title,description,location_name,location_address,latitude,longitude,Venue,start_date,end_date,event_start_time,event_end_time,Hide End Time from calendar(time_permission),repeating_event,website,phone_number,is_active,set_time,cover_charge,buy_now_link,reserve_seat_link,event_tags,jazz_types_id,video,video2,video3,artist,
Lezlie Harrison,Lezlie Harrison,333 lounge,333 Flatbush Ave.,,,Brooklyn,05-01-2024,,,,,Yes,,,,,,,,,,,,,,
"James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard","James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-01-2024,05-01-2024,20:00:00,21:00:00,,,,,1,,,,,,,,,,,
"James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard","James Carney Qt. w/Michaël Attias, Chris Lightcap, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-01-2024,05-01-2024,21:30:00,22:30:00,,,,,1,,,,,,,,,,,
"Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton","Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-02-2024,05-02-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton","Sam Newsome and Owen Howard w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-02-2024,05-02-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard","Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-08-2024,05-08-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard","Arthur Kell Qt w/Brad Shepik, Nate Radley, Allan Mednard",Bar Bayeux,,,,Brooklyn,05-08-2024,05-08-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Bruce Barth w/Adam Kolker, Jeremy Stratton","Bruce Barth w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-09-2024,05-09-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Bruce Barth w/Adam Kolker, Jeremy Stratton","Bruce Barth w/Adam Kolker, Jeremy Stratton",Bar Bayeux,,,,Brooklyn,05-09-2024,05-09-2024,21:30:00,22:30:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
"Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski","Igor Lumpert w/Peter Evans, Jeff Miles, Drew Gress, Kenny Grohowski",Bar Bayeux,,,,Brooklyn,05-10-2024,05-10-2024,20:00:00,21:00:00,,,https://www.barbayeux.com/,(718) 599-5800,1,,Free admission,,,,,,,,,
